Lineages	53A_F	53B_F	53C_F	69A	69B_F	69C_F	sum
XBB.1.28	9.62756759945269e-12	3.7518529409289894e-05	1.6405433971006726e-05	2.6737813465646943e-05	0.0	0.0	8.066178647351116e-05
EG.5.1.8	9.627567599453676e-12	3.7518529409289894e-05	1.640543397100673e-05	2.6737813465646943e-05	0.0	0.0	8.066178647351116e-05
EG.5.1	9.627567599461284e-12	3.7518529409289894e-05	1.640543397100673e-05	2.6737813465646943e-05	0.0	0.0	8.066178647351116e-05
XBB.1.9	9.627567599457621e-12	3.7518529409289894e-05	1.6405433971006726e-05	2.6737813465646943e-05	0.0	0.0	8.066178647351116e-05
XBB.1.9.2	9.62756759944255e-12	3.7518529409289894e-05	1.6405433971006726e-05	2.6737813465646943e-05	0.0	0.0	8.066178647351116e-05
EG.5	9.627567599464804e-12	3.7518529409289894e-05	1.640543397100673e-05	2.6737813465646943e-05	0.0	0.0	8.066178647351116e-05
FL.25	9.627567599625804e-12	3.7518529409289894e-05	1.640543397100669e-05	2.6737813465646946e-05	0.0	0.0	8.066178647351113e-05
XBB.2	9.627567599623692e-12	3.7518529409289894e-05	1.6405433971006693e-05	2.6737813465646943e-05	0.0	0.0	8.066178647351113e-05
XBB.1.22	9.627567599625804e-12	3.7518529409289894e-05	1.640543397100669e-05	2.6737813465646943e-05	0.0	0.0	8.066178647351113e-05
XBB.1.5.59	9.627567599625382e-12	3.7518529409289894e-05	1.640543397100669e-05	2.6737813465646946e-05	0.0	0.0	8.066178647351113e-05
XBB.1.28.1	9.627567599617776e-12	3.7518529409289894e-05	1.640543397100669e-05	2.6737813465646943e-05	0.0	0.0	8.066178647351112e-05
XBB.1.9.1	9.627567599370008e-12	3.7518529409289894e-05	1.640543397100625e-05	2.6737813465646943e-05	0.0	0.0	8.066178647351068e-05
XBB.1.5.24	1.1654133814491957e-11	0.0	1.4085056106046558e-05	0.0	0.0	0.0	1.4085067760180372e-05
BQ.1.1.36	3.800297626922458e-11	0.0	0.0	0.0	0.0	0.0	3.800297626922458e-11
XBB.1.5.4	0.0	0.0	0.0	0.0	0.0	1.3030331028166172e-11	1.3030331028166172e-11
XBB.1.4	0.0	0.0	0.0	0.0	0.0	1.3030331028057846e-11	1.3030331028057846e-11
JN.1.16.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BF.7.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BA.5.2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BA.2.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0
